text,label
Subscription not renewing properly.,billing_issue
Two-factor auth broken.,account_problem
How do I PDF?,general_inquiry
No receipt after purchase.,billing_issue
Can we add support for search?,feature_request
Delete my account please.,account_problem
Data not saving properly after 12345.,bug
Billing error: card declined but charged.,billing_issue
Would love a search button.,feature_request
"Forgot password, reset not working.",account_problem
Multi-language support for CSV?,feature_request
Please add export to PDF.,feature_request
Overcharged by dashboard on 404.,billing_issue
Account suspended without reason.,account_problem
UI is broken on Google. Can you fix?,bug
Would love a query test button.,feature_request
Shortcut keys for email.,feature_request
App freezes on 2023-01. Please help.,bug
UI is broken on email. Can you fix?,bug
Where is my invoice for email?,billing_issue
Images not loading in Android.,bug
Payment not recognized for 12345.,billing_issue
Verify phone number issue.,account_problem
Add integration with PDF.,feature_request
Request: dark mode for Slack.,feature_request
Can we add support for query test?,feature_request
Merge accounts users and export.,account_problem
The app crashes when I try to PDF.,bug
Upgrade to CSV but still on old.,billing_issue
Verify phone number issue.,account_problem
Subscription not renewing properly.,billing_issue
Delete my account please.,account_problem
Subscription not renewing properly.,billing_issue
Cannot login: invalid credentials.,account_problem
Data not saving properly after 12345.,bug
Is new@example.com available?,general_inquiry
What is the price for basic?,general_inquiry
Privacy policy question.,general_inquiry
Login fails with error web.,bug
How do I users?,general_inquiry
Data not saving properly after premium.,bug
Change email from 67890 to premium.,account_problem
Slow performance during basic.,bug
Overcharged by iOS on Android.,billing_issue
404 button does nothing.,bug
"Forgot password, reset not working.",account_problem
Cannot login: invalid credentials.,account_problem
The app crashes when I try to Jan.,bug
Change email from $20 to 2023-01.,account_problem
Upgrade to PDF but still on old.,billing_issue
"Forgot password, reset not working.",account_problem
Login fails with error $10.,bug
Charged twice for 12345. Refund?,billing_issue
Is 404 available?,general_inquiry
Where to find profile?,general_inquiry
How do I $20?,general_inquiry
Billing error: card declined but charged.,billing_issue
Demo request.,general_inquiry
Recommended setup for Google.,general_inquiry
Is Android available?,general_inquiry
Slow performance during save.,bug
Verify phone number issue.,account_problem
Shortcut keys for save.,feature_request
Privacy policy question.,general_inquiry
Cancel subscription failed.,billing_issue
Payment not recognized for old@example.com.,billing_issue
Merge accounts dashboard and 404.,account_problem
Can we add support for 67890?,feature_request
Data not saving properly after query test.,bug
What is the price for 67890?,general_inquiry
Request: dark mode for 500.,feature_request
Is Google available?,general_inquiry
Cannot login: invalid credentials.,account_problem
Where is my invoice for CSV?,billing_issue
Add integration with email.,feature_request
Where is my invoice for query test?,billing_issue
Status of my ticket Google.,general_inquiry
App freezes on search. Please help.,bug
Feedback on 2023-01.,general_inquiry
Profile pic not updating.,account_problem
Charged twice for 67890. Refund?,billing_issue
Data not saving properly after save.,bug
The app crashes when I try to new@example.com.,bug
Dispute charge of $20.,billing_issue
Would love a 404 button.,feature_request
Recommended setup for app.,general_inquiry
Access denied to PDF.,account_problem
Can we add support for app?,feature_request
Feedback on basic.,general_inquiry
Add integration with $20.,feature_request
Dispute charge of $20.,billing_issue
Login fails with error new@example.com.,bug
Feedback on 404.,general_inquiry
Overcharged by 500 on users.,billing_issue
Add integration with dashboard.,feature_request
Recommended setup for profile.,general_inquiry
Contact sales for enterprise.,general_inquiry
Search returns wrong results for $10.,bug
No receipt after purchase.,billing_issue
Slow performance during PDF.,bug
Overcharged by 12345 on 67890.,billing_issue
Feedback on login.,general_inquiry
Access denied to old@example.com.,account_problem
Need option to basic in bulk.,feature_request
Contact sales for enterprise.,general_inquiry
Need option to login in bulk.,feature_request
Need option to dashboard in bulk.,feature_request
Need option to Android in bulk.,feature_request
Add integration with query test.,feature_request
Overcharged by 500 on users.,billing_issue
Search returns wrong results for web.,bug
Subscription not renewing properly.,billing_issue
Cannot login: invalid credentials.,account_problem
Account suspended without reason.,account_problem
Cannot login: invalid credentials.,account_problem
Billing error: card declined but charged.,billing_issue
Login fails with error CSV.,bug
Privacy policy question.,general_inquiry
Payment not recognized for old@example.com.,billing_issue
Would love a iOS button.,feature_request
Error 2023-01 when opening $20.,bug
No receipt after purchase.,billing_issue
Multi-language support for app?,feature_request
Would love a 2023-01 button.,feature_request
Images not loading in dashboard.,bug
Dispute charge of users.,billing_issue
Where is my invoice for Slack?,billing_issue
Data not saving properly after premium.,bug
Add integration with Android.,feature_request
UI is broken on login. Can you fix?,bug
Delete my account please.,account_problem
Add integration with export.,feature_request
Overcharged by search on profile.,billing_issue
Upgrade to users but still on old.,billing_issue
What is the price for save?,general_inquiry
Add integration with Feb.,feature_request
Billing error: card declined but charged.,billing_issue
Login fails with error 404.,bug
Recommended setup for premium.,general_inquiry
Feedback on basic.,general_inquiry
Delete my account please.,account_problem
Cannot login: invalid credentials.,account_problem
Please add export to Feb.,feature_request
Subscription not renewing properly.,billing_issue
Please add export to web.,feature_request
Change email from query test to login.,account_problem
Access denied to app.,account_problem
No receipt after purchase.,billing_issue
Delete my account please.,account_problem
Where to find old@example.com?,general_inquiry
Two-factor auth broken.,account_problem
App freezes on CSV. Please help.,bug
Feature idea: auto-query test.,feature_request
Cannot login: invalid credentials.,account_problem
Contact sales for enterprise.,general_inquiry
Feedback on 2023-01.,general_inquiry
Privacy policy question.,general_inquiry
How do I basic?,general_inquiry
Request: dark mode for CSV.,feature_request
Payment not recognized for 2023-01.,billing_issue
Access denied to $10.,account_problem
Access denied to Android.,account_problem
App freezes on 404. Please help.,bug
The app crashes when I try to 67890.,bug
Overcharged by export on PDF.,billing_issue
Data not saving properly after $20.,bug
Two-factor auth broken.,account_problem
Verify phone number issue.,account_problem
The app crashes when I try to save.,bug
Change email from Android to search.,account_problem
What is the price for Google?,general_inquiry
The app crashes when I try to 500.,bug
Change email from query test to login.,account_problem
Profile pic not updating.,account_problem
Charged twice for 12345. Refund?,billing_issue
Images not loading in profile.,bug
Images not loading in Jan.,bug
Two-factor auth broken.,account_problem
Account suspended without reason.,account_problem
Billing error: card declined but charged.,billing_issue
Cannot login: invalid credentials.,account_problem
Login fails with error users.,bug
Slow performance during Android.,bug
Where to find export?,general_inquiry
Request: dark mode for search.,feature_request
Search returns wrong results for premium.,bug
Profile pic not updating.,account_problem
Verify phone number issue.,account_problem
Slow performance during 500.,bug
Dispute charge of 67890.,billing_issue
Shortcut keys for Android.,feature_request
Feedback on save.,general_inquiry
Upgrade to dashboard but still on old.,billing_issue
Access denied to email.,account_problem
Search returns wrong results for app.,bug
Search returns wrong results for PDF.,bug
Search returns wrong results for CSV.,bug
Is 2023-01 available?,general_inquiry
Delete my account please.,account_problem
Where is my invoice for premium?,billing_issue
Demo request.,general_inquiry
Contact sales for enterprise.,general_inquiry
Multi-language support for profile?,feature_request
Add integration with new@example.com.,feature_request
Payment not recognized for premium.,billing_issue
Error old@example.com when opening 2023-01.,bug
Feature idea: auto-old@example.com.,feature_request
Where is my invoice for web?,billing_issue
Profile pic not updating.,account_problem
Verify phone number issue.,account_problem
Payment not recognized for login.,billing_issue
Profile pic not updating.,account_problem
UI is broken on 67890. Can you fix?,bug
Verify phone number issue.,account_problem
Verify phone number issue.,account_problem
Feedback on Android.,general_inquiry
Can we add support for iOS?,feature_request
App freezes on profile. Please help.,bug
Payment not recognized for CSV.,billing_issue
Verify phone number issue.,account_problem
Status of my ticket dashboard.,general_inquiry
Billing error: card declined but charged.,billing_issue
Slow performance during 2023-01.,bug
Two-factor auth broken.,account_problem
Access denied to export.,account_problem
Demo request.,general_inquiry
Feedback on profile.,general_inquiry
Need option to $10 in bulk.,feature_request
Images not loading in 404.,bug
Billing error: card declined but charged.,billing_issue
Feature idea: auto-PDF.,feature_request
Upgrade to PDF but still on old.,billing_issue
Slow performance during 12345.,bug
What is the price for 2023-01?,general_inquiry
Would love a premium button.,feature_request
Is Slack available?,general_inquiry
Feature idea: auto-$10.,feature_request
Please implement login like in competitors.,feature_request
Cancel subscription failed.,billing_issue
Dispute charge of 67890.,billing_issue
Delete my account please.,account_problem
Contact sales for enterprise.,general_inquiry
Error Jan when opening web.,bug
Recommended setup for 12345.,general_inquiry
Shortcut keys for 404.,feature_request
Images not loading in 67890.,bug
Account suspended without reason.,account_problem
Delete my account please.,account_problem
Dispute charge of dashboard.,billing_issue
No receipt after purchase.,billing_issue
Upgrade to Feb but still on old.,billing_issue
Would love a $10 button.,feature_request
Where to find Android?,general_inquiry
Slow performance during $10.,bug
Upgrade to 500 but still on old.,billing_issue
Demo request.,general_inquiry
Slow performance during app.,bug
Request: dark mode for Android.,feature_request
Contact sales for enterprise.,general_inquiry
Login fails with error CSV.,bug
Multi-language support for Android?,feature_request
Data not saving properly after 67890.,bug
Demo request.,general_inquiry
Access denied to basic.,account_problem
